＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030069,FUT_REIT_260312,,202603,,1875.5,1875.5,1926.01,,0.7982,204,東証REIT
160090073,FUT_DJIA_250919,,202509,,44992,,44938.31,,,32,NYダウ
160120073,FUT_DJIA_251219,,202512,,45240,,44938.31,,,123,NYダウ
161030073,FUT_DJIA_260319,,202603,,45709,,44938.31,,,214,NYダウ
161060073,FUT_DJIA_260618,,202606,,46101,,44938.31,,,302,NYダウ
160090076,FUT_RNP_250911,,202509,,1700,1700.2,1700,,0.5918,22,RNP
160120076,FUT_RNP_251211,,202512,,1688,1687.9,1700,,0.8509,113,RNP
161030076,FUT_RNP_260312,,202603,,1688,1688.2,1700,,0.7982,204,RNP
161060076,FUT_RNP_260611,,202606,,1674,1674,1700,,0.7982,295,RNP
161090076,FUT_RNP_260910,,202609,,1675,1674.9,1700,,0.7982,386,RNP
160120017,FUT_NKDV_260331,,202512,,806,,,,,223,日経平均配当
161120017,FUT_NKDV_270331,,202612,,838,,,,,588,日経平均配当
162120017,FUT_NKDV_280331,,202712,,874,,,,,956,日経平均配当
163120017,FUT_NKDV_290330,,202812,,882,,,,,1320,日経平均配当
164120017,FUT_NKDV_300329,,202912,,873.2,,,,,1684,日経平均配当
165120017,FUT_NKDV_310331,,203012,,764.3,,,,,2049,日経平均配当
166120017,FUT_NKDV_320331,,203112,,764.3,,,,,2415,日経平均配当
167120017,FUT_NKDV_330331,,203212,,764.3,,,,,2780,日経平均配当
160090001,FUT_JBL_250912,,202509,,137.56,,,,,32,長期国債
160120001,FUT_JBL_251215,,202512,,136.54,,,,,123,長期国債
161030001,FUT_JBL_260313,,202603,,136.01,,,,,214,長期国債
160090007,FUT_JBLM_250911,,202509,,137.56,,,,,22,長期国債
160120007,FUT_JBLM_251212,,202512,,136.54,,,,,116,長期国債
161030007,FUT_JBLM_260312,,202603,,136.01,,,,,204,長期国債
160090004,FUT_JBM_250912,,202509,,107.79,,,,,32,中期国債
160120004,FUT_JBM_251215,,202512,,107.46,,,,,123,中期国債
161030004,FUT_JBM_260313,,202603,,107.21,,,,,214,中期国債
160090002,FUT_JBS_250912,,202509,,105.96,,,,,32,超長期国債
160120002,FUT_JBS_251215,,202512,,105.18,,,,,123,超長期国債
161030002,FUT_JBS_260313,,202603,,104.56,,,,,214,超長期国債
160060091,FUT_TOA3M_250916,,202506,,99.5225,,,,,27,無担保コールO/N物レート
160090091,FUT_TOA3M_251216,,202509,,99.445,,,,,118,無担保コールO/N物レート
160120091,FUT_TOA3M_260317,,202512,,99.3125,,,,,209,無担保コールO/N物レート
